x,phi,theta
19.00,270.00,30.00
18.78,255.53,29.00
18.36,241.50,28.00
17.76,227.92,27.00
17.03,214.80,26.00
16.19,202.14,25.00
15.29,189.94,24.00
14.37,178.21,23.00
13.46,166.94,22.00
12.61,156.14,21.00
11.83,145.82,20.00
11.15,135.97,19.00
10.58,126.61,18.00
10.13,117.72,17.00
9.99,109.31,16.20
9.91,101.39,15.40
9.85,93.95,14.60
9.80,91.06,13.80
