x,phi,theta
1.00,-90.00,-30.00
1.22,-75.52,-29.00
1.64,-51.49,-28.00
2.24,-47.92,-27.00
2.98,-34.80,-26.00
3.82,-22.13,-25.00
4.72,-9.93,-24.00
5.64,1.80,-23.00
6.54,13.06,-22.00
7.39,23.86,-21.00
8.17,34.18,-20.00
8.85,44.04,-19.00
9.42,53.40,-18.00
9.66,62.29,-17.00
9.82,70.69,-16.00
10.08,78.62,-15.00
10.11,85.05,-14.00
10.13,90.02,0.00
